Iteration,Selected Features,Accuracy,Precision,Recall,F1 Score,AUC-ROC
8612,"['total intl charge', 'customer service calls', 'international plan', 'total intl calls', 'total eve calls', 'total night calls', 'total night charge', 'total eve minutes', 'voice mail plan', 'total night minutes']",0.8980509745127436,0.7843137254901961,0.41237113402061853,0.5405405405405405,0.6965364442032917
8613,"['total night calls', 'total eve charge', 'total intl charge', 'customer service calls', 'total day minutes', 'international plan', 'total intl calls', 'total eve calls', 'number vmail messages', 'total night minutes']",0.9310344827586207,0.8695652173913043,0.6185567010309279,0.7228915662650603,0.8013836136733586
8614,"['customer service calls', 'number vmail messages', 'total night minutes', 'total night charge', 'voice mail plan', 'total day charge', 'total night calls', 'total eve charge', 'total intl minutes', 'total intl charge']",0.9115442278860569,0.8518518518518519,0.4742268041237113,0.609271523178808,0.7300958582022065
8615,"['total night calls', 'total day charge', 'total day minutes', 'account length', 'total day calls', 'total night minutes', 'total eve calls', 'total eve charge', 'total eve minutes', 'number vmail messages']",0.8905547226386806,0.7727272727272727,0.35051546391752575,0.48226950354609927,0.6664858021342015
8616,"['account length', 'total eve calls', 'international plan', 'total night minutes', 'total eve minutes', 'total eve charge', 'customer service calls', 'total day minutes', 'total day calls', 'total intl calls']",0.9055472263868066,0.7361111111111112,0.5463917525773195,0.6272189349112427,0.756529209621993
8617,"['total eve charge', 'international plan', 'total night calls', 'total night minutes', 'total day charge', 'total intl calls', 'account length', 'total day minutes', 'voice mail plan', 'number vmail messages']",0.9070464767616192,0.926829268292683,0.3917525773195876,0.5507246376811594,0.6932447097124254
8618,"['account length', 'total intl minutes', 'total day calls', 'total day minutes', 'number vmail messages', 'total night minutes', 'total day charge', 'voice mail plan', 'customer service calls', 'total intl charge']",0.8845577211394303,0.6851851851851852,0.38144329896907214,0.490066225165563,0.6758093687827816
8619,"['total night minutes', 'total day minutes', 'customer service calls', 'total intl charge', 'total day calls', 'total night charge', 'total eve minutes', 'number vmail messages', 'total night calls', 'international plan']",0.9265367316341829,0.8636363636363636,0.5876288659793815,0.6993865030674846,0.7859196961475855
8620,"['total day charge', 'number vmail messages', 'total intl minutes', 'total night calls', 'account length', 'total eve calls', 'voice mail plan', 'total eve charge', 'total night charge', 'customer service calls']",0.9055472263868066,0.8269230769230769,0.44329896907216493,0.5771812080536912,0.7137547476939771
8621,"['total day charge', 'total intl minutes', 'total day calls', 'total intl calls', 'international plan', 'customer service calls', 'voice mail plan', 'total day minutes', 'total eve charge', 'total eve calls']",0.9340329835082459,0.8533333333333334,0.6597938144329897,0.744186046511628,0.8202477844094773
