iter	Logloss
0	0.6798124537
1	0.6669673397
2	0.6543061313
3	0.6425560025
4	0.6315249624
5	0.6205481559
6	0.6088749521
7	0.5987195965
8	0.5890055476
9	0.5790355676
10	0.56923503
11	0.5605638513
12	0.5519386581
13	0.5432283345
14	0.5350870641
15	0.5270369804
16	0.5200208354
17	0.5125861682
18	0.5054469415
19	0.4998051344
20	0.4946667122
21	0.4883666647
22	0.4824716696
23	0.4766861671
24	0.471144303
25	0.4662818385
26	0.4618407747
27	0.4568280029
28	0.4524521108
29	0.4477824481
30	0.4441895085
31	0.4402330568
32	0.4360792271
33	0.4326816468
34	0.4292537436
35	0.4263717374
36	0.4230575186
37	0.4203292396
38	0.4174149623
39	0.414129445
40	0.4113086208
41	0.4086639427
42	0.4057505296
43	0.4029164617
44	0.400533875
45	0.3984557972
46	0.3960529567
47	0.3939608527
48	0.3916401328
49	0.3897143707
50	0.3880819028
51	0.3860609069
52	0.3839410624
53	0.3820393782
54	0.3806190893
55	0.3792849399
56	0.3779762423
57	0.3763477375
58	0.3749464956
59	0.373527205
60	0.3718630078
61	0.3704564058
62	0.3691961755
63	0.367876214
64	0.3671212773
65	0.3658713008
66	0.3650352982
67	0.363764855
68	0.3626565277
69	0.3613462581
70	0.3605685918
71	0.3598930259
72	0.3588233223
73	0.3579534824
74	0.3569192863
75	0.3564359623
76	0.3556637309
77	0.3552149122
78	0.3544870182
79	0.3535211235
80	0.3529607556
81	0.3522220858
82	0.3516113415
83	0.3509406727
84	0.3504976478
85	0.3497823211
86	0.3490626877
87	0.3485067863
88	0.348014179
89	0.3476073835
90	0.3469511321
91	0.3464064293
92	0.3457599041
93	0.3453577657
94	0.3448878133
95	0.3442059256
96	0.3436430574
97	0.3431296299
98	0.3427613466
99	0.3422404012
100	0.3417662453
101	0.3413137821
102	0.3409471927
103	0.3406175188
104	0.3403565479
105	0.3399740246
106	0.339645597
107	0.3393990571
108	0.339022951
109	0.3388769774
110	0.3386205829
111	0.3382278172
112	0.3379501778
113	0.3377441262
114	0.3374852682
115	0.3371810013
116	0.3367768553
117	0.3364761246
118	0.3361172958
119	0.3357818226
120	0.3355164849
121	0.3352667032
122	0.3349185069
123	0.3346129807
124	0.3343647867
125	0.3341471674
126	0.3338982964
127	0.3337452199
128	0.3335471314
129	0.3333483162
130	0.333124212
131	0.3328659503
132	0.3326750827
133	0.3324623833
134	0.3323259302
135	0.332071351
136	0.3319133981
137	0.3316829075
138	0.3315337317
139	0.3312961872
140	0.3311029281
141	0.3310437421
142	0.3308500975
143	0.3306506619
144	0.3304636433
145	0.330275736
146	0.3300972417
147	0.3299456027
148	0.3298134468
149	0.3296695708
150	0.3294573333
151	0.3293801635
152	0.3291995459
153	0.3291012162
154	0.3288945812
155	0.3286772537
156	0.328588807
157	0.3284131613
158	0.3281412933
159	0.3280388117
160	0.3279307027
161	0.3277108899
162	0.3276009267
163	0.3275255225
164	0.3274277258
165	0.3272915079
166	0.3271210058
167	0.3270032652
168	0.3267829405
169	0.3266716673
170	0.3265610675
171	0.3264615175
172	0.3263029932
173	0.3262444486
174	0.3261605962
175	0.3260818468
176	0.325905834
177	0.3257785791
178	0.3256118866
179	0.3254884579
180	0.3254257255
181	0.3252825572
182	0.325198277
183	0.325101357
184	0.3249973042
185	0.3249009917
186	0.3248179225
187	0.3246742424
188	0.3244941611
189	0.3243890321
190	0.3243165906
191	0.324202138
192	0.3241052182
193	0.3239902702
194	0.323972227
195	0.3238762937
196	0.3237304538
197	0.3236569641
198	0.3235669813
199	0.3234640684
200	0.3234026967
201	0.3233071217
202	0.3232189257
203	0.3231518972
204	0.3230598096
205	0.3229108789
206	0.322833939
207	0.3228213422
208	0.3227312452
209	0.3227205707
210	0.3225796071
211	0.3224751596
212	0.3224046092
213	0.3222997577
214	0.3222348421
215	0.322128258
216	0.3220533044
217	0.3219248731
218	0.3218940518
219	0.321815759
220	0.3217367044
221	0.3216582952
222	0.3215963387
223	0.321503928
224	0.3214921907
225	0.3213587967
226	0.3212492512
227	0.3212412097
228	0.3211681876
229	0.3210447268
230	0.3209829841
231	0.3208888367
232	0.320842227
233	0.320729461
234	0.3207109544
235	0.3206200766
236	0.3205697393
237	0.3205165314
238	0.3204643453
239	0.320451689
240	0.3203734872
241	0.3203693939
242	0.3203021054
243	0.3201365734
244	0.3200745712
245	0.319985187
246	0.3199497819
247	0.3198088488
248	0.3197805655
249	0.3196971267
250	0.319645666
251	0.3195404677
252	0.3194689795
253	0.3193942737
254	0.3193471803
255	0.3192648519
256	0.3192409014
257	0.319149292
258	0.3191128438
259	0.319022999
260	0.3189579211
261	0.3189568113
262	0.3188631962
263	0.3188014141
264	0.318795509
265	0.3186945751
266	0.318497518
267	0.3184937709
268	0.3184559468
269	0.3183737877
270	0.3183320707
271	0.3182793659
272	0.3182045386
273	0.3181972221
274	0.3181187892
275	0.3180480457
276	0.3179801153
277	0.3178891731
278	0.3178461724
279	0.3178155243
280	0.3177633693
281	0.3176762319
282	0.3175568097
283	0.3175231386
284	0.317494552
285	0.3174715315
286	0.3174550441
287	0.3174127841
288	0.3173489912
289	0.3172988136
290	0.317282918
291	0.3172461269
292	0.3171462932
293	0.3171147344
294	0.3171136534
295	0.3170560446
296	0.3169753704
297	0.3168678296
298	0.3167971693
299	0.3167136179
300	0.3166389122
301	0.3166088551
302	0.3165313244
303	0.3165163621
304	0.3164394814
305	0.3163833858
306	0.3162911818
307	0.3162191164
308	0.3161661326
309	0.3161232729
310	0.3160464796
311	0.3159998233
312	0.315957475
313	0.3158683253
314	0.3158146441
315	0.3157534636
316	0.3157053189
317	0.3156168841
318	0.3155129727
319	0.3154441333
320	0.3153572759
321	0.3153548889
322	0.3153365091
323	0.3152826927
324	0.3152558407
325	0.3152232111
326	0.315136572
327	0.3151082145
328	0.3150212693
329	0.3149780077
330	0.3148830179
331	0.314873285
332	0.3148641037
333	0.3148140948
334	0.3147356664
335	0.3146981513
336	0.3146564475
337	0.3146251003
338	0.3146243398
339	0.3144870872
340	0.3144365954
341	0.3143641539
342	0.3143136263
343	0.3142634992
344	0.3141764769
345	0.3141195534
346	0.3140690594
347	0.3139633505
348	0.3139031
349	0.3138555558
350	0.3137206982
351	0.3136383
352	0.3135412587
353	0.3134956518
354	0.3134388707
355	0.3133954776
356	0.3133306052
357	0.313281716
358	0.3131471777
359	0.3130351628
360	0.3130295894
361	0.3130058962
362	0.3129389893
363	0.3128714473
364	0.3127999234
365	0.3127018105
366	0.3126338793
367	0.3126174769
368	0.3125504273
369	0.3124678859
370	0.3123962998
371	0.3123034489
372	0.3122656642
373	0.3122125975
374	0.3121304933
375	0.3120838473
376	0.3120189313
377	0.3120163034
378	0.3119514585
379	0.3119214538
380	0.3119119696
381	0.3118628527
382	0.3118148488
383	0.3117619449
384	0.3117483103
385	0.3116862505
386	0.311588765
387	0.3115881265
388	0.3115661269
389	0.3114927424
390	0.3114517658
